insitu_date;product_sensing_start;product_name;product_uuid;product_satellite;product_sensor;L2_file;station;lat;lon
23.01.2020;2020-01-23T09:59:39.575896Z;S3B_OL_1_EFR____20200123T095940_20200123T100240_20240526T033658_0179_034_350_2160_MAR_R_NT_004.SEN3;fa2450dd-604b-372d-b853-d30c08c431d1;S3B;OLCI;France_Geneva_chlorophyll_a_20200123.nc;SHL2;46.453457;6.5942335
18.02.2020;2020-02-18T10:25:50.798087Z;S3B_OL_1_EFR____20200218T102551_20200218T102851_20240526T034138_0179_035_336_2160_MAR_R_NT_004.SEN3;514154c7-da1f-3c65-b5c2-4d052cc1123f;S3B;OLCI;France_Geneva_chlorophyll_a_20200218.nc;SHL2;46.453457;6.5942335
18.02.2020;2020-02-18T09:24:25.236718Z;S3A_OL_1_EFR____20200218T092425_20200218T092725_20240601T201314_0179_055_093_2160_MAR_R_NT_004.SEN3;7f8d24aa-e20c-32f3-8219-60cac39ed6fd;S3A;OLCI;France_Geneva_chlorophyll_a_20200218.nc;SHL2;46.453457;6.5942335
05.05.2020;2020-05-05T09:28:16.833745Z;S3A_OL_1_EFR____20200505T092817_20200505T093117_20240602T022713_0179_058_036_2160_MAR_R_NT_004.SEN3;20df605e-3174-3fe2-9a7f-d3bfde696c02;S3A;OLCI;France_Geneva_chlorophyll_a_20200505.nc;SHL2;46.453457;6.5942335
02.06.2020;2020-06-02T10:03:34.152629Z;S3B_OL_1_EFR____20200602T100334_20200602T100634_20240526T072416_0179_039_293_2160_MAR_R_NT_004.SEN3;fc4a43cf-fe39-3985-b78a-f4363fa3a5fd;S3B;OLCI;France_Geneva_chlorophyll_a_20200602.nc;SHL2;46.453457;6.5942335
15.06.2020;2020-06-15T09:26:11.835355Z;S3B_OL_1_EFR____20200615T092612_20200615T092912_20240526T090247_0179_040_093_2160_MAR_R_NT_004.SEN3;1be7f611-243e-3857-8ba7-56de1c5cbe50;S3B;OLCI;France_Geneva_chlorophyll_a_20200615.nc;SHL2;46.453457;6.5942335
15.06.2020;2020-06-15T10:05:39.341841Z;S3A_OL_1_EFR____20200615T100539_20200615T100839_20240602T044518_0179_059_236_2160_MAR_R_NT_004.SEN3;b030b408-7229-3171-aca7-3929e5d7f221;S3A;OLCI;France_Geneva_chlorophyll_a_20200615.nc;SHL2;46.453457;6.5942335
30.06.2020;2020-06-30T10:16:53.131600Z;S3A_OL_1_EFR____20200630T101653_20200630T101953_20240602T054038_0179_060_065_2160_MAR_R_NT_004.SEN3;6e216632-216a-3b46-924e-42bb6395cabe;S3A;OLCI;France_Geneva_chlorophyll_a_20200630.nc;SHL2;46.453457;6.5942335
30.06.2020;2020-06-30T09:37:26.375188Z;S3B_OL_1_EFR____20200630T093726_20200630T094026_20240526T071704_0179_040_307_2160_MAR_R_NT_004.SEN3;c33ef315-85f5-381e-b07c-d45538bb0cd1;S3B;OLCI;France_Geneva_chlorophyll_a_20200630.nc;SHL2;46.453457;6.5942335
20.07.2020;2020-07-20T09:58:11.125897Z;S3A_OL_1_EFR____20200720T095811_20200720T100111_20240602T080943_0179_060_350_2160_MAR_R_NT_004.SEN3;d8b40fff-fb7e-37df-acee-6c1fc2296a83;S3A;OLCI;France_Geneva_chlorophyll_a_20200720.nc;SHL2;46.453457;6.5942335
20.07.2020;2020-07-20T09:18:44.645133Z;S3B_OL_1_EFR____20200720T091845_20200720T092145_20240526T091841_0179_041_207_2160_MAR_R_NT_004.SEN3;0d34436b-9e14-386f-92eb-fc0533c6092e;S3B;OLCI;France_Geneva_chlorophyll_a_20200720.nc;SHL2;46.453457;6.5942335
03.08.2020;2020-08-03T09:56:08.695807Z;S3B_OL_1_EFR____20200803T095609_20200803T095909_20240526T101849_0180_042_022_2160_MAR_R_NT_004.SEN3;2902f196-02d0-3afc-aed7-fcea96ded182;S3B;OLCI;France_Geneva_chlorophyll_a_20200803.nc;SHL2;46.453457;6.5942335
20.08.2020;2020-08-20T09:54:23.936069Z;S3A_OL_1_EFR____20200820T095424_20200820T095724_20240602T100941_0179_062_022_2160_MAR_R_NT_004.SEN3;91215837-6316-3156-9217-2e4636712843;S3A;OLCI;France_Geneva_chlorophyll_a_20200820.nc;SHL2;46.453457;6.5942335
09.09.2020;2020-09-09T09:35:40.807463Z;S3A_OL_1_EFR____20200909T093541_20200909T093841_20240602T111735_0179_062_307_2160_MAR_R_NT_004.SEN3;249a32f8-5481-38f1-a1b8-7d634620b115;S3A;OLCI;France_Geneva_chlorophyll_a_20200909.nc;SHL2;46.453457;6.5942335
23.09.2020;2020-09-23T09:33:39.383030Z;S3B_OL_1_EFR____20200923T093339_20200923T093639_20240526T112632_0179_043_364_2160_MAR_R_NT_004.SEN3;7b52ca8b-651d-3a9d-818d-2efffd90275d;S3B;OLCI;France_Geneva_chlorophyll_a_20200923.nc;SHL2;46.453457;6.5942335
23.09.2020;2020-09-23T10:13:06.729687Z;S3A_OL_1_EFR____20200923T101307_20200923T101607_20240602T122034_0179_063_122_2160_MAR_R_NT_004.SEN3;8ebd281b-f1e5-37c9-83c5-596d0d41ac12;S3A;OLCI;France_Geneva_chlorophyll_a_20200923.nc;SHL2;46.453457;6.5942335
13.10.2020;2020-10-13T09:54:25.809291Z;S3A_OL_1_EFR____20201013T095426_20201013T095726_20240602T142959_0179_064_022_2160_MAR_R_NT_004.SEN3;55e447f7-92e3-3a6a-b9c7-b1546aaf64b5;S3A;OLCI;France_Geneva_chlorophyll_a_20201013.nc;SHL2;46.453457;6.5942335
03.11.2020;2020-11-03T10:11:06.765096Z;S3B_OL_1_EFR____20201103T101107_20201103T101407_20240526T142341_0179_045_179_2160_MAR_R_NT_004.SEN3;9bff68b5-f071-3312-b796-c94552655ca1;S3B;OLCI;France_Geneva_chlorophyll_a_20201103.nc;SHL2;46.453457;6.5942335
18.11.2020;2020-11-18T09:20:43.174089Z;S3A_OL_1_EFR____20201118T092043_20201118T092343_20240602T173218_0179_065_150_2160_MAR_R_NT_004.SEN3;61aee3ec-144a-304b-a925-9779b607ff46;S3A;OLCI;France_Geneva_chlorophyll_a_20201118.nc;SHL2;46.453457;6.5942335
18.11.2020;2020-11-18T10:22:21.277402Z;S3B_OL_1_EFR____20201118T102221_20201118T102521_20240526T155109_0179_046_008_2160_MAR_R_NT_004.SEN3;aa13ebf1-efba-3577-a2a7-7732cbf6c212;S3B;OLCI;France_Geneva_chlorophyll_a_20201118.nc;SHL2;46.453457;6.5942335
16.12.2020;2020-12-16T09:56:08.260820Z;S3B_OL_1_EFR____20201216T095608_20201216T095908_20240526T162621_0179_047_022_2160_MAR_R_NT_004.SEN3;e3c86361-347b-3aa7-bc27-088a6044f3fb;S3B;OLCI;France_Geneva_chlorophyll_a_20201216.nc;SHL2;46.453457;6.5942335
26.01.2021;2021-01-26T09:32:00.833860Z;S3A_OL_1_EFR____20210126T093201_20210126T093501_20240602T233322_0179_067_364_2160_MAR_R_NT_004.SEN3;47c2282d-ad9e-392a-b922-1eb8c444c599;S3A;OLCI;France_Geneva_chlorophyll_a_20210126.nc;SHL2;46.453457;6.5942335
16.02.2021;2021-02-16T09:48:37.688081Z;S3B_OL_1_EFR____20210216T094838_20210216T095138_20240526T200917_0179_049_136_2160_MAR_R_NT_004.SEN3;f4b27c35-7e59-3b85-8aae-93842e3a13eb;S3B;OLCI;France_Geneva_chlorophyll_a_20210216.nc;SHL2;46.453457;6.5942335
03.03.2021;2021-03-03T09:59:52.624648Z;S3B_OL_1_EFR____20210303T095953_20210303T100253_20240527T002819_0179_049_350_2160_MAR_R_NT_004.SEN3;ef2fd1ec-52f0-3b79-b023-718e8af6c64c;S3B;OLCI;France_Geneva_chlorophyll_a_20210303.nc;SHL2;46.453457;6.5942335
16.03.2021;2021-03-16T10:01:51.865986Z;S3A_OL_1_EFR____20210316T100152_20210316T100452_20240603T034102_0179_069_293_2160_MAR_R_NT_004.SEN3;072e5539-da61-3bf0-84bf-6951ccb26413;S3A;OLCI;France_Geneva_chlorophyll_a_20210316.nc;SHL2;46.453457;6.5942335
16.03.2021;2021-03-16T09:22:28.955037Z;S3B_OL_1_EFR____20210316T092229_20210316T092529_20240526T201056_0179_050_150_2160_MAR_R_NT_004.SEN3;95850030-8407-323b-ab3b-c8a85dc4865d;S3B;OLCI;France_Geneva_chlorophyll_a_20210316.nc;SHL2;46.453457;6.5942335
20.04.2021;2021-04-20T09:54:30.585500Z;S3A_OL_1_EFR____20210420T095431_20210420T095731_20240603T053459_0179_071_022_2160_MAR_R_NT_004.SEN3;e1bf6ba3-e410-3a1a-9e13-7d1dbd00eafc;S3A;OLCI;France_Geneva_chlorophyll_a_20210420.nc;SHL2;46.453457;6.5942335
03.05.2021;2021-05-03T10:18:36.261401Z;S3B_OL_1_EFR____20210503T101836_20210503T102136_20240527T003052_0179_052_065_2160_MAR_R_NT_004.SEN3;10e7e858-2625-32ca-bd9c-269a620fd0f3;S3B;OLCI;France_Geneva_chlorophyll_a_20210503.nc;SHL2;46.453457;6.5942335
19.05.2021;2021-05-19T10:03:39.756201Z;S3B_OL_1_EFR____20210519T100340_20210519T100640_20240527T010942_0179_052_293_2160_MAR_R_NT_004.SEN3;002a3880-c7f2-3da7-8f73-a2c18a62121f;S3B;OLCI;France_Geneva_chlorophyll_a_20210519.nc;SHL2;46.453457;6.5942335
