Specific absorption coefficients of seven phytoplankton types.								
Brown group, Green group, Cryptophyta, Cyanobacteria blue and red, Coccolithophores and Case-1 are from the supplemental data of [1]. Values > 720 nm are filled using the closest value.								
Dinflagellates is from WASI [2] and derived from pure cultures grown in the laboratory [4,5,6].								
								
[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]								
[2] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.								
[4] Gege (1994): Gew�sseranalyse mit passiver Fernerkundung: Ein Modell zur Interpretation optischer Spektralmessungen. PhD thesis. DLR-Forschungsbericht 94-15, 171 p								
[5] Gege (1995): Water analysis by remote sensing: A model for the interpretation of optical spectral measurements. Technical Translation ESA-TT-1324, 231 pp.								
[6] Gege (1998): Correction of specular reflections at the water surface. Ocean Optics XIV, Conference Papers, Vol. 2.								

								
wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Dinoflagellates,Case-1
656,0.010130532,0.01711423,0.011330511,0.014769769,0.013457069,0.009035626,0.016144,0.0102708971790417
658,0.011371356,0.017745172,0.012676741,0.015179385,0.014391418,0.009672047,0.016731,0.0112819742984545
660,0.012888887,0.018516861,0.014237774,0.0158985,0.015411293,0.010680651,0.017465,0.0129078119005034
662,0.014723763,0.01942608,0.01596679,0.016893816,0.016570623,0.012090391,0.018358,0.0146925772515053
664,0.016766064,0.020407055,0.017709165,0.018064933,0.017874188,0.01376478,0.019416,0.0166567598524114
666,0.018718656,0.02139593,0.019341381,0.019331765,0.019319225,0.015731823,0.020623,0.0188414552260561
668,0.02051245,0.022314893,0.020781856,0.020608269,0.020801151,0.017844176,0.021932,0.0208944742766525
670,0.022031034,0.023072177,0.021990943,0.021802446,0.022113569,0.019894135,0.023246,0.0224792707817802
672,0.023160186,0.023576686,0.022942482,0.022781567,0.022995574,0.021725449,0.024413,0.0235694821896555
674,0.023865816,0.023858547,0.023591297,0.023503529,0.02358287,0.023119976,0.025231,0.0240682630300468
676,0.0239,0.0239,0.0239,0.0239,0.0239,0.0239,0.025538,0.0239
678,0.023107816,0.023664991,0.023817064,0.023883835,0.023912357,0.023971315,0.025253,0.0231110923039114
680,0.021636311,0.023099172,0.023276828,0.023349083,0.023526185,0.023214056,0.024423,0.0217095012159528
682,0.019476441,0.022129289,0.022249766,0.022242382,0.022298092,0.02166484,0.023199,0.0197255491441905
684,0.016796884,0.020730513,0.020791605,0.020643354,0.020585108,0.019478512,0.021772,0.0172386815943553
686,0.014069253,0.018949355,0.01897151,0.018667605,0.018450488,0.016576079,0.0203,0.0145523977453615
688,0.01142149,0.016880108,0.016883573,0.016454082,0.016056495,0.01371244,0.018891,0.0118272002341825
690,0.008977198,0.014664843,0.014646814,0.014165078,0.013664399,0.011343515,0.017602,0.00946225885240767
692,0.006960355,0.012580539,0.012468269,0.01204727,0.011373089,0.00938384,0.016458,0.00752440924011855
694,0.00529991,0.010649065,0.010424293,0.010100356,0.009338099,0.007762713,0.015461,0.0059943999621979
696,0.004018425,0.008901019,0.008566715,0.008350809,0.007531968,0.006425262,0.014598,0.00480142438970817
698,0.003175746,0.007418376,0.00700216,0.006887053,0.006082262,0.00531208,0.013852,0.00390969135024701
700,0.002588343,0.006137498,0.005686109,0.005650307,0.004953657,0.004394606,0.013204,0.00326711838292394
702,0.002098164,0.005068814,0.004677188,0.004658597,0.004081549,0.003637347,0.012641,0.00279316855003047
704,0.001745311,0.004195563,0.003873113,0.003856758,0.00337947,0.003010184,0.012151,0.00243078337785198
