Specific scattering coefficients of seven phytoplankton types from the supplemental data of [1]. Values > 720 nm are filled using the closest value.

[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]


wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Phytoplankton Case 1
755,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
756,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
757,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
758,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
759,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
760,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
761,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
762,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
763,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
764,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
765,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
766,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
767,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
768,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
769,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
770,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
771,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
772,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
773,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
774,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
775,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
776,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
777,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
778,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
779,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
780,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
781,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
782,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
783,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
784,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
785,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
786,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
787,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
788,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
789,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
790,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
791,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
792,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
793,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
794,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
795,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
796,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
797,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
798,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
799,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
800,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
801,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
802,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
803,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
804,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
805,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
806,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
807,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
808,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
809,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
810,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
811,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
812,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
813,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
814,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
815,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
816,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
817,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
818,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
819,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
820,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
821,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
822,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
823,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
