Specific absorption coefficients of seven phytoplankton types from the supplemental data of [1]. Values > 720 nm are filled using the closest value.

[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]






















wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore
682,0.019476441,0.022129289,0.022249766,0.022242382,0.022298092,0.02166484
684,0.016796884,0.020730513,0.020791605,0.020643354,0.020585108,0.019478512
686,0.014069253,0.018949355,0.01897151,0.018667605,0.018450488,0.016576079
688,0.01142149,0.016880108,0.016883573,0.016454082,0.016056495,0.01371244
690,0.008977198,0.014664843,0.014646814,0.014165078,0.013664399,0.011343515
692,0.006960355,0.012580539,0.012468269,0.01204727,0.011373089,0.00938384
694,0.00529991,0.010649065,0.010424293,0.010100356,0.009338099,0.007762713
696,0.004018425,0.008901019,0.008566715,0.008350809,0.007531968,0.006425262
698,0.003175746,0.007418376,0.00700216,0.006887053,0.006082262,0.00531208
700,0.002588343,0.006137498,0.005686109,0.005650307,0.004953657,0.004394606
702,0.002098164,0.005068814,0.004677188,0.004658597,0.004081549,0.003637347
704,0.001745311,0.004195563,0.003873113,0.003856758,0.00337947,0.003010184
706,0.001484517,0.003479831,0.003214052,0.003199544,0.002804016,0.002496157
708,0.001316857,0.002884973,0.002664628,0.002652599,0.002324685,0.002069452
710,0.001203386,0.002393068,0.002210292,0.002200315,0.001928312,0.001716598
712,0.001096097,0.001986079,0.001834389,0.001826108,0.001600364,0.001424657
714,0.001012451,0.001649169,0.001523211,0.001516335,0.001328885,0.001182984
716,0.000945343,0.001370124,0.001265478,0.001259765,0.001104033,0.000982819
718,0.000906585,0.001138882,0.001051898,0.001047149,0.000917701,0.000816944
720,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
721,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
722,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
723,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
724,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
725,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
726,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
727,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
728,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
729,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
730,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
731,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
732,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
733,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
734,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
735,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
736,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
737,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
738,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
739,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
740,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
741,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
742,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
743,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
744,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
745,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
746,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
747,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
748,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
749,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
750,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
751,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
752,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
753,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
754,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
755,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
756,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
757,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
758,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
759,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
760,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
761,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
762,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
763,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
764,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
765,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
766,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
767,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
768,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
769,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
770,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
771,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
772,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
773,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
774,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
775,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
776,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
777,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
778,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
779,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
780,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
781,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
782,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
783,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
784,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
785,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
786,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
787,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
788,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
789,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
790,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
791,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
792,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
793,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
794,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
795,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
796,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
797,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
798,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
799,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
800,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
801,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
802,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
803,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
804,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
805,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
806,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
807,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
808,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
809,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
810,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
811,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
812,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
813,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
814,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
815,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
816,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
817,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
818,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
819,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
820,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
821,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
822,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
823,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
824,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
825,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
826,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
827,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
828,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
829,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
830,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
831,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
832,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
833,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
834,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
835,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
836,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
837,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
838,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
839,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
840,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
841,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
842,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
843,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
844,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
845,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
846,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
847,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
848,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
849,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
850,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
851,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
852,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
853,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
854,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
855,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
856,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
857,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
858,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
859,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
860,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
861,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
862,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
863,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
864,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
865,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
866,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
867,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
868,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
869,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
870,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
871,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
872,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
873,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
874,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
875,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
876,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
877,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
878,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
879,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
880,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
881,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
882,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
883,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
884,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
885,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
886,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
887,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
888,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
889,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
890,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
891,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
892,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
893,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
894,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
895,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
896,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
897,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
898,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
899,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
900,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
901,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
902,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
903,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
904,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
905,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
906,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
907,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
908,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
909,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
910,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
911,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415
