Irradiance reflectance or albedo [-] of six benthic substrate types.

Spectra 1.-4. are averages of in water spectra collected with an ASD Handheld-2 with a customized underwater housing using a Spectralon panel 
as white reference. Substrate and panel were illuminated with a tungsten halogen light source at ~ 10 cm distance (Greg Asner, personal communication).


0. constant; a constant irradiance reflectance of 1.0 or 100 %, after [1] but changed to 1.0 instead 0.1 to enable constraining the sum of all R_b
1. sand; spectrum is an average of 24 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
2. coral; spectrum is an average of 101 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
3. cca (crustose coralline algae); spectrum is an average of 751 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
4. macroalgae; spectrum is an average of 102 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
5. seagrass; seagrass (Zostera marina) from the Wismar bay in the Baltic Sea (Germany); measured in air (Schnalzger 2017 [2]) as provided with WASI6 [1]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Schnalzger (2017): Spektrale Datenbank für den Untergrund der Ostsee sowie Einfluss auf die Bestimmung der Wassertiefe. Master Thesis University of Augsburg, 68 pp.

wavelength_nm,constant,sand,coral,cca,macroalgae,seagrass
579,1.0,0.305615007,0.138121371,0.183952327,0.058565733,0.0328
580,1.0,0.306392887,0.137837416,0.188048287,0.05955035,0.03241
581,1.0,0.30716689,0.137458537,0.192164822,0.060547102,0.03204
582,1.0,0.307940386,0.137013934,0.196249427,0.061542778,0.03168
583,1.0,0.308716156,0.13653843,0.200257816,0.062541056,0.03134
584,1.0,0.30949652,0.136068799,0.204147666,0.063545433,0.03102
585,1.0,0.310283946,0.135639329,0.207860393,0.0645208,0.03072
586,1.0,0.311080272,0.135282536,0.2113638,0.065458354,0.03042
587,1.0,0.31188691,0.135028834,0.214654823,0.066380014,0.03015
588,1.0,0.312704165,0.134900273,0.217713351,0.067259806,0.02988
589,1.0,0.313529025,0.134912835,0.220521939,0.068073747,0.02963
590,1.0,0.314354219,0.135077159,0.223071638,0.068845422,0.02939
591,1.0,0.315176894,0.13539718,0.2253584,0.06957159,0.02917
592,1.0,0.31599634,0.135871353,0.227387108,0.070232979,0.02896
593,1.0,0.316805355,0.136489842,0.22916308,0.070827688,0.02877
594,1.0,0.317595169,0.137236138,0.230690937,0.071352168,0.02859
595,1.0,0.318358355,0.138090361,0.231969089,0.071807668,0.02842
596,1.0,0.31908565,0.139026421,0.232989465,0.072194798,0.02826
597,1.0,0.319766525,0.140013511,0.233751309,0.072510049,0.02811
598,1.0,0.320392949,0.141015822,0.234277381,0.07275617,0.02796
599,1.0,0.320956689,0.141997475,0.234569835,0.072930917,0.02782
600,1.0,0.321447134,0.142922964,0.234622887,0.07301721,0.02768
601,1.0,0.321853568,0.143755995,0.234438469,0.073018312,0.02753
602,1.0,0.322168194,0.144461674,0.23401566,0.07293884,0.02738
603,1.0,0.322387038,0.145009962,0.233355735,0.072768887,0.02721
604,1.0,0.322507406,0.145375692,0.232478571,0.072522866,0.02704
605,1.0,0.322531654,0.145539466,0.231409111,0.072224339,0.02685
606,1.0,0.322460983,0.145487506,0.230157691,0.071855902,0.02665
607,1.0,0.322298363,0.145215637,0.228737134,0.071412874,0.02644
608,1.0,0.322054039,0.144730557,0.227165412,0.070915468,0.02621
609,1.0,0.321742803,0.144046643,0.225459173,0.070372071,0.02597
610,1.0,0.321379815,0.143182638,0.223639566,0.069790203,0.02573
611,1.0,0.320977681,0.142163867,0.221740852,0.06919479,0.02547
612,1.0,0.320552016,0.141018887,0.219790394,0.068594252,0.02522
613,1.0,0.320117539,0.139777811,0.217815839,0.067982334,0.02496
614,1.0,0.319687679,0.138471681,0.215850238,0.067367458,0.0247
615,1.0,0.319272775,0.137130223,0.213920363,0.066763668,0.02445
616,1.0,0.318878437,0.135777047,0.212044443,0.066193377,0.0242
617,1.0,0.318510148,0.134435258,0.210238868,0.065655437,0.02397
618,1.0,0.31817227,0.133126096,0.208520528,0.065138495,0.02374
619,1.0,0.317864874,0.131864915,0.206927922,0.064660511,0.02354
620,1.0,0.317587364,0.130665061,0.205474523,0.064238288,0.02335
621,1.0,0.317338357,0.129539816,0.204144145,0.063879196,0.02318
622,1.0,0.317118415,0.128496056,0.202950377,0.063562747,0.02303
623,1.0,0.31692795,0.127536373,0.201909522,0.063268236,0.0229
624,1.0,0.316767128,0.126662949,0.201020747,0.063007298,0.02279
625,1.0,0.316635912,0.125873077,0.20028463,0.062782217,0.02269
626,1.0,0.316536629,0.125158183,0.199699544,0.062584029,0.0226
